token,count
অকুস্থল,1
অঙ্গাঙ্গিভাবে,1
অনুশীলন,1
অপরাধ,1
অবস্থান,2
অভিধান,1
অভিনয়,3
অভিনয়ের,1
অভিনেতা,2
অভিনেতার,1
অভিনেতারাও,1
অর্থ,1
অর্থাৎ,1
অসত্য,5
অসত্যকে,2
অসত্যের,1
অসহায়,1
অসৎ,1
অ্যান্ড,1
আক্রান্ত,1
আত্মীয়কে,1
আদার,1
আপনাকে,1
আপনাদের,2
আপনারা,1
আবুল,1
আমরাই,1
আমেরিকার,1
আরেকজনের,1
আরেকটি,1
আশাবাদী,1
আসলে,2
আসলেই,2
আসেন,1
ইচ্ছাকৃতভাবে,2
ইচ্ছামতো,2
ইচ্ছে,1
উক্তি,1
উক্তিটা,1
উঠে,1
উত্তরটা,1
উদাহরণ,1
উদ্দেশ্য,1
উপস্থাপন,4
উৎসব,1
একজন,3
একটা,2
একাই,1
এখানকার,1
এসেছে,1
ওপর,2
ওপরই,1
কঠিন,1
কথা,4
কথাটা,2
কথায়,1
কদিন,1
কবর,1
করছি,4
করছিলেন,1
করানো,1
কাজ,1
কাঠগড়ায়,1
কারণে,1
কিছুদিন,1
কৃষক,2
কোথাও,2
কোথায়,1
ক্যানসারে,1
ক্ষমতার,1
খারাপ,1
খালি,1
খুঁজে,1
খেতে,1
খেলতে,1
খোঁজে,1
গল্প,3
গল্পটা,1
গাড়িটি,1
গাড়ির,1
গিয়ে,1
গীতা,1
গেছেন,2
গেলেন,1
গ্রামের,1
গ্রিক,1
ঘটবে,1
ঘটেনি,1
চরম,1
চলাফেরা,1
চার,2
চালু,1
চুটকি,1
চেয়েও,1
চেষ্টা,1
ছেড়ে,1
ছোট,2
জড়িত,2
জন্মগতভাবে,1
জাগছে,1
