token,count
অকুস্থল,1
অঙ্গাঙ্গিভাব,1
অতলান্তিক,1
অনুশীলন,1
অপরাধ,1
অবস্থান,2
অভিধান,1
অভিনয়,4
অভিনয়শিল্পী,3
অভিনেত,1
অভিনেতা,3
অর্থ,1
অর্থাৎ,1
অসত্য,8
অসহায়,1
অসৎ,1
অ্যান্ড,1
আক্রান্ত,1
আত্মীয়,1
আদ,1
আপনা,4
আবুল,1
আম,1
আমেরিক,2
আরেক,1
আরেকজন,1
আশাবাদী,1
আস,1
আসল,4
ইচ্ছাকৃতভাব,2
ইচ্ছাম,2
উক্তি,2
উঠ,1
উত্তর,1
উদাহরণ,1
উদ্দেশ্য,2
উপস্থাপন,4
উৎসব,1
এক,2
একজন,3
একবচন,1
একা,1
এখানক,1
এস,1
ওপর,3
কঠিন,1
কথা,6
কথায়,1
কদিন,1
কবর,1
কর,4
করছি,1
করানো,1
কাজ,1
কাঠগড়ায়,1
কারণ,1
কিছুদিন,1
কৃষক,3
কোথা,2
কোথায়,1
ক্যানসার,1
ক্ষমত,1
খা,1
খারাপ,1
খুঁজ,1
খোঁজ,1
গল্প,4
গাড়ি,1
গাড়ির,1
গিয়,1
গীতা,1
গে,1
গ্রাম,1
গ্রিক,1
ঘটব,1
ঘটেনি,1
চরম,1
চলাফ,1
চালু,1
চুটকি,1
চেয়,1
চেষ্,1
ছেড়,1
ছোট,2
জড়িত,2
জন্মগতভাব,1
জাগ,1
জাগা,1
জানি,1
জে,1
জেন,1
টানাহেঁচড়া,1
ডাক্ত,1
তখন,1
তখনো,1
তাহা,1
তিন,3
তিনি,1
তেমনি,1
থাক,2
